system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Gita\documents\visual studio 2010\Projects\RPG\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00058] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00610] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.03855] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.03859] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.03904] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.03905] al_display=02715108
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.03906] al_display->vt=02715040
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04003] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.04004] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04005] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04006] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04007] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04008] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04009] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.04010] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04011] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.04012] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04013] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.04014] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04015] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.04015] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04016] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.04017] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04018] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.04019] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04020] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.04021] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04022] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04022] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04023] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.04024] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04031] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.04033] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04034] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.04034] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04035] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.04036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.04037] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.04038] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
